fold,model_type,task_type,score_type,score_val
0,triple_walk_cbow,edge_pred,au_roc,0.7091339260604378
0,triple_walk_cbow,edge_pred,precision,0.5261277355962484
0,triple_walk_cbow,edge_pred,recall,0.9792186201163757
0,triple_walk_cbow,clf_kinase_substrate,au_roc,0.8628654970760233
0,triple_walk_cbow,clf_kinase_substrate,precision,0.7169811320754716
0,triple_walk_cbow,clf_kinase_substrate,recall,0.8444444444444444
0,triple_walk_cbow,clf_ec,au_roc,0.7837820512820513
0,triple_walk_cbow,clf_ec,precision,0.6590909090909091
0,triple_walk_cbow,clf_ec,recall,0.7733333333333333
0,triple_walk_cbow,clf_ec_full,au_roc,0.7503501400560224
0,triple_walk_cbow,clf_ec_full,precision,0.7297297297297297
0,triple_walk_cbow,clf_ec_full,recall,0.6428571428571429
0,triple_walk_sg,edge_pred,au_roc,0.7766545813355223
0,triple_walk_sg,edge_pred,precision,0.6145434663750683
0,triple_walk_sg,edge_pred,recall,0.9343308395677473
0,triple_walk_sg,clf_kinase_substrate,au_roc,0.6905945419103313
0,triple_walk_sg,clf_kinase_substrate,precision,0.5462184873949579
0,triple_walk_sg,clf_kinase_substrate,recall,0.7222222222222222
0,triple_walk_sg,clf_ec,au_roc,0.6783333333333333
0,triple_walk_sg,clf_ec,precision,0.5617977528089888
0,triple_walk_sg,clf_ec,recall,0.6666666666666666
0,triple_walk_sg,clf_ec_full,au_roc,0.5413165266106442
0,triple_walk_sg,clf_ec_full,precision,0.5625
0,triple_walk_sg,clf_ec_full,recall,0.42857142857142855
0,deepwalk_sg,edge_pred,au_roc,0.620166472154333
0,deepwalk_sg,edge_pred,precision,0.5396825396825397
0,deepwalk_sg,edge_pred,recall,0.6500415627597672
0,deepwalk_sg,clf_kinase_substrate,au_roc,0.591374269005848
0,deepwalk_sg,clf_kinase_substrate,precision,0.4745762711864407
0,deepwalk_sg,clf_kinase_substrate,recall,0.6222222222222222
0,deepwalk_sg,clf_ec,au_roc,0.696602564102564
0,deepwalk_sg,clf_ec,precision,0.55
0,deepwalk_sg,clf_ec,recall,0.7333333333333333
0,deepwalk_sg,clf_ec_full,au_roc,0.7076330532212886
0,deepwalk_sg,clf_ec_full,precision,0.7142857142857143
0,deepwalk_sg,clf_ec_full,recall,0.5952380952380952
0,deepwalk_cbow,edge_pred,au_roc,0.6733598948044132
0,deepwalk_cbow,edge_pred,precision,0.5383488031265267
0,deepwalk_cbow,edge_pred,recall,0.9160432252701579
0,deepwalk_cbow,clf_kinase_substrate,au_roc,0.7282163742690059
0,deepwalk_cbow,clf_kinase_substrate,precision,0.6372549019607843
0,deepwalk_cbow,clf_kinase_substrate,recall,0.7222222222222222
0,deepwalk_cbow,clf_ec,au_roc,0.7349358974358974
0,deepwalk_cbow,clf_ec,precision,0.6071428571428571
0,deepwalk_cbow,clf_ec,recall,0.68
0,deepwalk_cbow,clf_ec_full,au_roc,0.761904761904762
0,deepwalk_cbow,clf_ec_full,precision,0.7941176470588235
0,deepwalk_cbow,clf_ec_full,recall,0.6428571428571429
0,distmult,edge_pred,au_roc,0.6193614743965798
0,distmult,edge_pred,precision,0.5289902280130293
0,distmult,edge_pred,recall,0.6749792186201163
0,distmult,clf_kinase_substrate,au_roc,0.7607699805068227
0,distmult,clf_kinase_substrate,precision,0.6736842105263158
0,distmult,clf_kinase_substrate,recall,0.7111111111111111
0,distmult,clf_ec,au_roc,0.7471153846153847
0,distmult,clf_ec,precision,0.631578947368421
0,distmult,clf_ec,recall,0.64
0,distmult,clf_ec_full,au_roc,0.6624649859943977
0,distmult,clf_ec_full,precision,0.6666666666666666
0,distmult,clf_ec_full,recall,0.6666666666666666
0,node2vec_sg,edge_pred,au_roc,0.6370748799931454
0,node2vec_sg,edge_pred,precision,0.5458362491252624
0,node2vec_sg,edge_pred,recall,0.6483790523690773
0,node2vec_sg,clf_kinase_substrate,au_roc,0.6186159844054581
0,node2vec_sg,clf_kinase_substrate,precision,0.5172413793103449
0,node2vec_sg,clf_kinase_substrate,recall,0.6666666666666666
0,node2vec_sg,clf_ec,au_roc,0.6941025641025642
0,node2vec_sg,clf_ec,precision,0.5212765957446809
0,node2vec_sg,clf_ec,recall,0.6533333333333333
0,node2vec_sg,clf_ec_full,au_roc,0.6911764705882353
0,node2vec_sg,clf_ec_full,precision,0.7272727272727273
0,node2vec_sg,clf_ec_full,recall,0.5714285714285714
0,node2vec_cbow,edge_pred,au_roc,0.6987104143216357
0,node2vec_cbow,edge_pred,precision,0.5376884422110553
0,node2vec_cbow,edge_pred,recall,0.9783873649210307
0,node2vec_cbow,clf_kinase_substrate,au_roc,0.7438596491228069
0,node2vec_cbow,clf_kinase_substrate,precision,0.61
0,node2vec_cbow,clf_kinase_substrate,recall,0.6777777777777778
0,node2vec_cbow,clf_ec,au_roc,0.6812820512820513
0,node2vec_cbow,clf_ec,precision,0.5126050420168067
0,node2vec_cbow,clf_ec,recall,0.8133333333333334
0,node2vec_cbow,clf_ec_full,au_roc,0.6498599439775911
0,node2vec_cbow,clf_ec_full,precision,0.5714285714285714
0,node2vec_cbow,clf_ec_full,recall,0.47619047619047616
0,transe,edge_pred,au_roc,0.6101537511168049
0,transe,edge_pred,precision,0.545631067961165
0,transe,edge_pred,recall,0.9343308395677473
0,transe,clf_kinase_substrate,au_roc,0.5898635477582845
0,transe,clf_kinase_substrate,precision,0.5192307692307693
0,transe,clf_kinase_substrate,recall,0.6
0,transe,clf_ec,au_roc,0.547371794871795
0,transe,clf_ec,precision,0.44144144144144143
0,transe,clf_ec,recall,0.6533333333333333
0,transe,clf_ec_full,au_roc,0.6631652661064426
0,transe,clf_ec_full,precision,0.6818181818181818
0,transe,clf_ec_full,recall,0.35714285714285715
1,triple_walk_cbow,edge_pred,au_roc,0.7066418879374022
1,triple_walk_cbow,edge_pred,precision,0.523117569352708
1,triple_walk_cbow,edge_pred,recall,0.9875311720698254
1,triple_walk_cbow,clf_kinase_substrate,au_roc,0.862548076923077
1,triple_walk_cbow,clf_kinase_substrate,precision,0.8275862068965517
1,triple_walk_cbow,clf_kinase_substrate,recall,0.72
1,triple_walk_cbow,clf_ec,au_roc,0.8124530663329161
1,triple_walk_cbow,clf_ec,precision,0.7558139534883721
1,triple_walk_cbow,clf_ec,recall,0.6914893617021277
